"art","fem","mar","kid5","phd","ment"
0,0,1,0,2.51999998092651,7
0,1,0,0,2.04999995231628,6
0,1,0,0,3.75,6
0,0,1,1,1.17999994754791,3
0,1,0,0,3.75,26
0,1,1,2,3.58999991416931,2
0,1,0,0,3.19000005722046,3
0,0,1,2,2.96000003814697,4
0,0,0,0,4.61999988555908,6
0,1,1,0,1.25,0
0,0,0,0,2.96000003814697,14
0,1,0,0,0.754999995231628,13
0,1,1,1,3.69000005722046,3
0,1,1,0,3.40000009536743,4
0,1,1,0,1.78999996185303,0
0,1,0,0,3.08999991416931,1
0,1,1,0,2,7
0,0,1,2,4.28999996185303,13
0,1,0,0,3.35999989509583,7
0,1,0,0,4.28999996185303,9
0,1,1,0,2.25999999046326,6
0,0,1,3,2.96000003814697,3
0,0,1,1,4.28999996185303,5
0,0,1,1,2.85999989509583,4
0,0,1,3,2.75999999046326,1
0,1,1,0,1.51999998092651,3
0,1,1,1,3.53999996185303,8
0,0,1,1,4.28999996185303,3
0,1,0,0,3.08999991416931,0
0,0,1,0,2.3199999332428,3
0,1,0,0,2.39000010490417,0
0,0,1,0,4.28999996185303,8
0,1,0,0,1.50499999523163,13
0,0,0,0,2.09999990463257,0
0,0,1,1,1.51999998092651,0
0,1,0,0,2,0
0,1,0,0,1.75,0
0,0,0,0,4.28999996185303,9
0,0,1,1,1.22000002861023,2
0,1,1,0,3.75,5
0,0,0,0,4.28999996185303,9
0,1,1,1,2.85999989509583,3
0,0,0,0,3.92000007629395,5
0,1,1,1,3.35999989509583,3
0,0,0,0,2.09999990463257,6
0,0,1,1,1.17999994754791,0
0,0,1,0,2.5,1
0,0,1,0,3.35999989509583,25
0,1,0,0,4.53999996185303,14
0,1,1,0,3.92000007629395,8
0,0,0,0,4.53999996185303,5
0,1,1,2,1.97000002861023,0
0,0,1,2,2.96000003814697,12
0,0,1,0,4.28999996185303,8
0,0,1,1,2.25999999046326,2
0,1,0,0,2.11999988555908,11
0,1,0,0,3.21000003814697,2
0,0,1,1,3.15000009536743,1
0,0,1,1,3.92000007629395,1
0,0,0,0,2.96000003814697,0
0,1,0,0,2.85999989509583,6
0,0,1,1,2.09999990463257,0
0,1,0,0,3.75,4
0,1,1,0,3.53999996185303,2
0,1,1,0,2.53999996185303,1
0,0,1,1,2.75999999046326,3
0,0,1,0,4.53999996185303,10
0,0,1,0,1.67999994754791,6
0,0,1,1,2.20000004768372,0
0,1,0,0,1.00499999523163,0
0,0,0,0,2.11999988555908,2
0,1,1,2,2.57999992370605,0
0,1,1,0,1.78999996185303,1
0,0,0,0,4.28999996185303,2
0,1,1,0,1.27999997138977,4
0,0,1,2,2.57999992370605,5
0,0,1,2,2.11999988555908,0
0,0,1,1,2.21000003814697,1
0,0,1,1,2.25999999046326,5
0,1,0,0,3.21000003814697,5
0,1,0,0,2.09999990463257,2
0,1,1,1,3.53999996185303,1
0,0,1,1,3.40000009536743,18
0,0,1,0,2.21000003814697,6
0,0,1,0,2.21000003814697,19
0,0,1,2,0.920000016689301,1
0,1,0,0,4.28999996185303,35
0,0,1,2,3.15000009536743,6
0,0,1,0,4.28999996185303,19
0,0,1,1,2.50999999046326,8
0,0,1,1,4.28999996185303,1
0,1,1,0,2.75999999046326,0
0,0,1,0,1.41999995708466,3
0,0,1,0,2.21000003814697,19
0,0,0,0,4.1399998664856,5
0,0,1,0,1.51999998092651,7
0,0,0,0,4.61999988555908,8
0,1,0,0,3.61999988555908,7
0,1,1,2,3.75,4
0,0,1,0,4.28999996185303,8
0,1,0,0,3.75,5
0,0,1,1,2.09999990463257,0
0,0,1,2,1.39999997615814,7
0,1,1,0,3.19000005722046,4
0,0,1,2,1.80999994277954,1
0,0,1,1,3.15000009536743,2
0,1,1,0,3.75,7
0,1,0,0,2.04999995231628,6
0,0,1,3,2.21000003814697,3
0,1,1,2,3.35999989509583,2
0,1,1,0,3.47000002861023,11
0,1,0,0,2.11999988555908,0
0,1,1,1,3.35999989509583,2
0,0,1,0,2.53999996185303,5
0,0,1,2,2.15000009536743,4
0,0,1,1,4.53999996185303,3
0,0,1,0,1.67999994754791,4
0,1,1,1,2.54999995231628,0
0,1,0,0,2.11999988555908,11
0,0,1,1,3.47000002861023,2
0,1,1,0,3.47000002861023,1
0,1,0,0,3.35999989509583,9
0,0,1,1,2.11999988555908,10
0,1,0,0,2.09999990463257,1
0,1,0,0,4.28999996185303,1
0,0,1,1,2.85999989509583,13
0,1,1,1,4.28999996185303,9
0,0,1,0,3.21000003814697,2
0,0,0,0,2.09999990463257,0
0,1,1,0,1.80999994277954,5
0,1,0,0,2.51999998092651,2
0,0,1,1,3.35999989509583,23
0,1,1,0,4.53999996185303,4
0,1,1,1,4.28999996185303,4
0,1,0,0,2.11999988555908,9
0,0,1,2,4.61999988555908,30
0,1,1,1,3.58999991416931,14
0,1,0,0,3.58999991416931,4
0,0,1,3,2.85999989509583,1
0,1,0,0,1.50499999523163,3
0,1,1,1,2.5,0
0,1,1,0,4.61999988555908,0
0,0,0,0,2.5,0
0,1,1,1,3.35999989509583,3
0,1,0,0,2,2
0,1,1,2,3.41000008583069,5
0,0,1,0,2.09999990463257,0
0,1,0,0,2,2
0,0,1,0,3.35999989509583,2
0,0,1,3,3.58999991416931,7
0,0,0,0,2.14000010490417,2
0,1,1,0,3.58999991416931,12
0,1,0,0,2.39000010490417,10
0,0,1,3,4.53999996185303,11
0,0,0,0,2.96000003814697,2
0,0,1,1,2.21000003814697,5
0,0,1,2,3.69000005722046,5
0,1,1,0,1.77999997138977,1
0,1,0,0,2.85999989509583,11
0,0,1,0,2.85999989509583,8
0,1,1,0,2.57999992370605,3
0,1,0,0,3.75,1
0,1,1,1,1.22000002861023,11
0,1,0,0,2.09999990463257,9
0,1,0,0,3.58999991416931,18
0,1,0,0,3.53999996185303,5
0,1,0,0,2.85999989509583,16
0,1,1,0,1.86000001430511,6
0,0,1,0,2.96000003814697,0
0,1,1,0,3.69000005722046,7
0,1,1,0,3.69000005722046,2
0,1,1,0,4.28999996185303,1
0,1,0,0,2.51999998092651,1
0,1,0,0,1.75999999046326,10
0,0,1,2,2.3199999332428,2
0,1,0,0,3.69000005722046,2
0,1,0,0,3.75,14
0,1,0,0,4.28999996185303,5
0,1,1,2,4.53999996185303,6
